,Vice President,Preceded by,President,Preceded by2,Succeeded by,Born,Political party,Other politicalaffiliations,Spouse(s),Children,Parent(s),Relatives,Alma mater,Occupation,Awards,Signature,Website,Residence,Civilian awards,Nickname(s),Education,Succeeded by2,Died,Resting place,Parents,Cause of death,Profession,Relations,Vice President2,Notable work,Era,Region,School,Notable ideas,Height
Joe Biden,Kamala Harris,Donald Trump,Barack Obama,Dick Cheney,Mike Pence,"Joseph Robinette Biden Jr. (1942-11-20) November 20, 1942 (age 79)Scranton, Pennsylvania, U.S.",Democratic (1969–present),Independent (before 1969),"

Neilia Hunter
​ ​(m. 1966; died 1972)​

Jill Jacobs ​(m. 1977)​
","
Beau
Hunter
Naomi
Ashley
","
Joseph Robinette Biden Sr.
Catherine Eugenia Finnegan
",Biden family,"
University of Delaware (BA)
Syracuse University (JD)
",Politicianlawyerauthor,List of honors and awards,,"
Campaign website
White House website
",,,,,,,,,,,,,,,,,,
George W. Bush,Dick Cheney,Bill Clinton,,,Barack Obama,"George Walker Bush (1946-07-06) July 6, 1946 (age 75)New Haven, Connecticut, U.S.",Republican,,Laura Welch ​(m. 1977)​,BarbaraJenna,"
George H. W. Bush
Barbara Pierce
",Bush family,"
Yale University (BA)
Harvard University (MBA)
",Politicianbusinessman,,,"
Official website
Presidential Library
Presidential Center
White House Archives
","Crawford, Texas, U.S.",List of honors and awards,"""Dubya""[2]""GWB""[3]",,,,,,,,,,,,,,,
Barack Obama,Joe Biden,George W. Bush,,,Donald Trump,"Barack Hussein Obama II (1961-08-04) August 4, 1961 (age 60)Honolulu, Hawaii, U.S.",Democratic,,Michelle Robinson ​(m. 1992)​,"
Malia
Sasha
","
Barack Obama Sr.
Ann Dunham
",Family of Barack Obama,Columbia University (BA)Harvard University (JD),Politicianlawyerauthor,List of honors and awards,,Official websiteObama FoundationWhite House Archives,"Kalorama (Washington, D.C.)",,,Punahou School,,,,,,,,,,,,,,
Donald Trump,Mike Pence,Barack Obama,,,Joe Biden,"Donald John Trump (1946-06-14) June 14, 1946 (age 75)Queens, New York City, U.S.","Republican (1987–1999, 2009–2011, 2012–present)","
Reform (1999–2001)
Democratic (2001–2009)
Independent (2011–2012)
","

Ivana Zelníčková
​ ​(m. 1977; div. 1992)​

Marla Maples
​ ​(m. 1993; div. 1999)​

Melania Knauss ​(m. 2005)​
","
Donald Jr.
Ivanka
Eric
Tiffany
Barron
","
Fred Trump
Mary Anne MacLeod
",Family of Donald Trump,Wharton School (BS Econ.),Politicianbusinessmantelevision presenter,List of honors and awards,,Official websitePresidential LibraryWhite House Archives,Mar-a-Lago,,,,,,,,,,,,,,,,,
Dick Cheney,,Al Gore,George W. Bush,,Joe Biden,"Richard Bruce Cheney (1941-01-30) January 30, 1941 (age 80)Lincoln, Nebraska, U.S.",Republican,,Lynne Vincent ​(m. 1964)​,LizMary,,,,,,,,,,,"Yale University (no degree) 
University of Wyoming (BA, MA)

University of Wisconsin-Madison (no degree)",,,,,,,,,,,,,,
Al Gore,,Dan Quayle,Bill Clinton,,Dick Cheney,"Albert Arnold Gore Jr. (1948-03-31) March 31, 1948 (age 73)Washington, D.C., U.S.",Democratic,,"Tipper Aitcheson
​ ​(m. 1970; sep. 2010)​",KarennaKristinSarahAlbert III,Albert Gore Sr.Pauline LaFon,,,Politicianenvironmentalistlawyerbusinessmanjournalistauthor,,,www.algore.com ,,List of honors and awards,,Harvard University (BA)Vanderbilt University (no degree),,,,,,,,,,,,,,
Kamala Harris,,Mike Pence,Joe Biden,,,"Kamala Devi Harris[a] (1964-10-20) October 20, 1964 (age 57)Oakland, California, U.S.",Democratic,,Doug Emhoff ​(m. 2014)​,,"
Donald J. Harris
Shyamala Gopalan
",Family of Kamala Harris,,Politicianlawyerauthor,,,"
Campaign website
White House website
",Number One Observatory Circle,,,"
Howard University (BA)
University of California, Hastings (JD)
",,,,,,,,,,,,,,
Mike Pence,,Joe Biden,Donald Trump,,Kamala Harris,"Michael Richard Pence (1959-06-07) June 7, 1959 (age 62)Columbus, Indiana, U.S.",Republican (1983–present),Democratic (before 1983),Karen Batten ​(m. 1985)​,"3, including Charlotte",,Greg Pence (brother),,Politicianlawyerbroadcaster,,,,"Indianapolis, Indiana, U.S.",,,Hanover College (BA)Indiana University–Purdue University Indianapolis (JD),,,,,,,,,,,,,,
George H. W. Bush,Dan Quayle,Ronald Reagan,Ronald Reagan,Walter Mondale,Bill Clinton,"George Herbert Walker Bush(1924-06-12)June 12, 1924Milton, Massachusetts, U.S.",Republican,,"Barbara Pierce
​ ​(m. 1945; died 2018)​",GeorgeRobinJebNeilMarvinDorothy,"
Prescott Bush
Dorothy Walker
",Bush family,,Politiciandiplomatbusinessman,,,Presidential Library,,See list,"""Skin""",Yale University (BA),Dan Quayle,"November 30, 2018(2018-11-30) (aged 94)Houston, Texas, U.S.",George H.W. Bush Presidential Library and Museum,,,,,,,,,,,
Jimmy Carter,Walter Mondale,Gerald Ford,,,Ronald Reagan,"James Earl Carter Jr. (1924-10-01) October 1, 1924 (age 97)Plains, Georgia, U.S.",Democratic,,Rosalynn Smith ​(m. 1946)​,"
Jack
James III
Donnel
Amy
","
James Earl Carter Sr.
Bessie Gordy
",,United States Naval Academy (BS),Philanthropistauthorformer politician,,,,"Plains, Georgia, U.S.",List of honors and awards,,,,,,,,,,,,,,,,
