,USA Today,Politico,Vice News,TMZ,The New Yorker,Time
Kamala Harris,0.97,0.53,0.64,0.71,0.5,0.78
George H. W. Bush,0.98,0.85,0.26,0.94,-0.98,0.95
Joe Biden,1.0,0.82,0.33,0.21,0.75,0.39
Al Gore,0.86,0.96,0.43,-0.87,,0.98
George W. Bush,0.98,0.53,0.55,0.94,-0.98,0.77
Mike Pence,0.11,0.41,0.37,0.15,0.97,1.0
Donald Trump,-0.05,0.33,0.29,0.34,0.27,0.77
Barack Obama,0.33,0.63,0.61,,1.0,0.99
Bill Clinton,,0.65,-0.1,0.14,,0.73
George Washington,0.9,0.41,0.83,,,0.51
Ronald Reagan,,0.75,0.39,0.99,,0.99
Dick Cheney,0.86,0.47,0.84,-0.88,,0.98
Jimmy Carter,0.9,0.51,0.57,-0.96,0.99,0.33
Thomas Jefferson,0.99,0.44,1.0,-0.33,1.0,1.0
Theodore Roosevelt,0.98,0.71,0.99,-0.86,0.01,0.89
Abraham Lincoln,,0.02,0.59,-0.2,,0.99
